County	Region	Births	Death 	InfMort	Minority	Over65	PopChng	PopDens	Urban	Income	ConsInc	FarmInc	ManIncom	RetInc	FdStmps	MoblHms	NoCar	PlumProb	PoorChild	Unemp	Coll4	Crime	HSGrad	JuvDel	MVDeath	SchlSpnd
Lee	Peedee	12.9	11.2	19.0	65.0	12.4	9.1	49.0	18.7	26907.0	92.1	1636.8	659.7	331.6	54.5	35.5	16.8	1.4	28.2	10.0	9.2	435.1	61.4	41.0	49.2	8973.0
Lexington	Midlands	14.0	8.1	6.6	15.8	10.2	28.9	308.2	66.3	44659.0	785.6	382.3	1631.9	1077.9	11.7	23.1	5.3	0.4	10.2	3.7	24.6	436.5	83.0	79.0	21.2	7606.0
McCormick	Upstate	7.6	12.0	12.8	55.2	16.5	12.3	27.7	0.0	31577.0	169.8	217.2	1082.1	208.6	26.2	28.8	11.0	1.7	28.9	9.8	16.0	225.0	66.1	94.0	9.8	9260.0
Marion	Peedee	13.8	10.6	10.3	58.3	12.1	4.6	72.5	39.7	26526.0	193.3	733.5	2376.3	599.7	44.5	29.8	15.8	1.3	31.8	8.2	10.1	635.6	68.0	179.0	39.9	7584.0
Marlboro	Peedee	11.9	10.8	8.9	55.5	12.3	-3.0	60.1	52.8	26598.0	154.9	930.1	3588.7	386.6	38.1	24.3	18.0	1.3	28.7	5.8	8.3	583.2	60.9	68.0	21.1	7339.0
Newberry	Midlands	12.5	11.4	10.8	36.0	14.7	8.9	57.2	33.1	32867.0	561.0	1371.5	3574.8	662.6	22.9	24.4	10.9	0.9	23.5	7.8	14.8	358.3	69.1	57.0	24.4	8113.0
Oconee	Upstate	11.7	10.0	7.5	10.9	15.6	15.2	105.9	29.4	36666.0	502.4	746.5	2959.6	805.9	9.8	27.6	6.2	0.7	13.9	4.3	18.1	361.7	73.9	38.0	23.3	8388.0
Orangeburg	Midlands	13.8	10.7	8.7	62.8	13.2	8.0	82.8	33.1	29567.0	255.2	818.1	3092.3	769.0	40.4	33.0	12.8	1.0	27.3	8.5	16.3	632.1	71.5	64.0	39.5	8588.0
Pickens	Upstate	11.2	8.1	5.6	9.7	11.4	18.0	222.9	58.3	36214.0	504.2	212.0	2161.9	745.1	8.5	23.4	5.9	0.6	11.6	5.4	19.1	258.8	73.6	64.0	22.2	6604.0
Richland	Midlands	13.3	7.8	7.7	49.7	9.8	12.0	423.9	87.2	39961.0	1005.7	42.7	1731.3	1279.7	15.8	6.6	9.0	0.5	16.3	6.7	32.5	719.0	85.1	43.0	13.9	8558.0
Saluda	Midlands	11.2	11.3	4.7	34.2	14.5	16.7	42.5	18.7	35774.0	80.5	2705.8	939.5	274.1	23.7	29.2	9.1	1.1	21.2	5.0	11.9	212.5	69.3	26.0	21.0	8056.0
Spartanburg	Upstate	13.1	9.8	7.9	24.9	12.5	11.9	312.9	64.8	37579.0	994.4	298.4	4632.2	1064.5	10.7	16.6	8.4	0.5	15.1	5.5	18.2	493.4	73.1	47.0	19.1	7400.0
Sumter	Midlands	15.6	8.9	8.5	50.0	11.2	3.3	157.2	62.1	33278.0	968.2	632.5	3059.2	832.2	31.7	26.2	11.0	0.6	20.7	7.6	15.8	628.5	74.3	39.0	30.2	6713.0
Union	Upstate	10.7	13.2	12.8	32.2	15.6	-1.5	58.1	35.7	31441.0	89.9	94.7	3328.8	520.2	18.8	23.5	12.7	1.0	19.9	7.3	9.8	307.8	66.9	92.0	24.1	7749.0
Williamsburg	Peedee	12.6	11.8	8.8	67.3	13.0	1.1	39.8	15.1	24214.0	141.7	908.3	1108.7	376.3	54.0	38.4	15.8	1.5	38.6	9.1	11.5	265.5	65.5	58.0	44.4	7741.0
York	Upstate	13.4	7.7	7.6	22.7	10.4	25.2	241.2	64.3	44539.0	552.7	158.1	2489.7	988.9	12.8	17.4	6.9	0.3	11.7	6.1	20.9	532.5	77.2	73.0	17.4	7226.0
